startYear,showName,theatre,type,attendance,capacity,grossEarnings,performances
2007,The Lion King,Minskoff,Musical,13240,100,1310816,8
2007,The Phantom Of The Opera,Majestic,Musical,13046,101,914632,8
2007,The Pirate Queen,Hilton Theatre,Musical,10821,75,704025,5
2007,The Producers,St. James,Musical,11040,81,660786,8
2007,The Year Of Magical Thinking,Booth,Play,5354,98,422076,7
2007,Wicked,Gershwin,Musical,14472,100,1467527,8
2007,A Chorus Line '06,Schoenfeld,Musical,8168,96,726607,8
2007,A Moon For The Misbegotten 07,Brooks Atkinson,Play,7963,96,572013,8
2007,Avenue Q,Golden,Musical,5738,90,382568,8
2007,Beauty And The Beast,Lunt-Fontanne,Musical,11995,99,886825,8
2007,Chicago,Ambassador,Musical,7584,88,561841,8
2007,Company 06,Ethel Barrymore,Musical,3896,47,250250,8
2007,Curtains,Al Hirschfeld,Musical,10899,96,843064,8
2007,Deuce,Music Box,Play,2809,70,145912,0
2007,Frost/Nixon,Jacobs,Play,6190,72,335375,0
2007,Grey Gardens,Walter Kerr,Musical,5022,68,335679,8
2007,Hairspray,Neil Simon,Musical,10742,94,747557,8
2007,Inherit The Wind 07,Lyceum,Play,5467,73,355075,4
2007,Jersey Boys,August Wilson,Musical,9850,101,1164098,8
2007,Journey'S End,Belasco,Play,3580,44,171376,8
2007,Legally Blonde,Palace,Musical,12663,97,721513,0
2007,Les Miserables 2006,Broadhurst,Musical,8841,98,673444,8
2007,Lovemusik,Biltmore,Musical,2163,70,128930,0
2007,Mamma Mia!,Winter Garden,Musical,11957,100,962522,8
2007,Mary Poppins,New Amsterdam,Musical,14458,101,1189025,8
2007,Monty Python'S Spamalot,Shubert,Musical,11191,97,906795,8
2007,Prelude To A Kiss 2007,American Airlines,Play,4049,68,180950,8
2007,Rent,Nederlander,Musical,7630,81,440851,8
2007,Spring Awakening,Eugene O'Neill,Musical,6780,78,520522,8
2007,Talk Radio,Longacre,Play,4073,46,249050,8
2007,Tarzan,Richard Rodgers,Musical,9191,87,698041,8
2007,The 25Th Annual Putnam County Spelling Bee,Circle In The Square,Musical,5165,94,283825,8
2007,The Coast Of Utopia,Vivian Beaumont,Play,6771,92,565301,7
2007,The Color Purple,Broadway,Musical,13467,98,1183723,8
2007,The Drowsy Chaperone,Marquis,Musical,11363,88,876508,8
2007,The Lion King,Minskoff,Musical,13231,100,1197233,8
2007,The Phantom Of The Opera,Majestic,Musical,12952,101,836022,8
2007,The Pirate Queen,Hilton Theatre,Musical,12007,83,757333,8
2007,The Producers,St. James,Musical,8732,64,544430,8
2007,The Year Of Magical Thinking,Booth,Play,4873,89,382933,7
2007,Wicked,Gershwin,Musical,14472,100,1487336,8
2007,110 In The Shade,Studio 54,Musical,5272,76,262544,0
2007,A Chorus Line '06,Schoenfeld,Musical,7490,88,659890,8
2007,A Moon For The Misbegotten 07,Brooks Atkinson,Play,6774,94,524353,7
2007,Avenue Q,Golden,Musical,4929,77,337656,8
